"District","Location","DFLCandidate","RCandidate","DFLWinPct","RWinPct","Lwr","ExpMargin","Upr","Rating"
"SD-01","East Grand Forks","Generic DFL","Mark Johnson","1%","99%","R+12.6","R+25.2","R+37.8","Solid R"
"SD-02","Park Rapids","Generic DFL","Paul J. Utke","3%","97%","R+7.0","R+19.9","R+32.8","Solid R"
"SD-03","Cook","Thomas M. Bakk","Generic R","97%","3%","DFL+32.9","DFL+20.0","DFL+7.1","Solid DFL"
"SD-04","Twin Valley","Kent Eken","Generic R","96%","4%","DFL+31.1","DFL+18.0","DFL+4.9","Solid DFL"
"SD-05","Grand Rapids","Generic DFL","Justin D. Eichorn","17%","83%","DFL+3.4","R+10.0","R+23.4","Likely R"
"SD-06","Chisholm","David J. Tomassoni","Generic R","98%","2%","DFL+34.5","DFL+21.6","DFL+8.7","Solid DFL"
"SD-07","Duluth","Erik Simonson","Generic R",">99%","<1%","DFL+46.7","DFL+34.7","DFL+22.8","Solid DFL"
"SD-08","Alexandria","Generic DFL","Bill Ingebrigtsen","4%","96%","R+5.4","R+18.4","R+31.5","Solid R"
"SD-09","Nisswa","Generic DFL","Paul E. Gazelka","1%","99%","R+13.6","R+26.1","R+38.7","Solid R"
"SD-10","Breezy Point","Generic DFL","Carrie Ruud","3%","97%","R+6.0","R+19.0","R+32.0","Solid R"
"SD-11","Pine City","Generic DFL","Jason Rarick","25%","75%","DFL+6.5","R+7.0","R+20.5","Lean R"
"SD-12","Elbow Lake","Generic DFL","Torrey N. Westrom","1%","99%","R+12.8","R+25.4","R+38.1","Solid R"
"SD-13","Rockville","Generic DFL","Jeff Howe","1%","99%","R+10.9","R+23.6","R+36.3","Solid R"
"SD-14","St. Cloud","Generic DFL","Jerry Relph","25%","75%","DFL+6.3","R+7.1","R+20.5","Likely R"
"SD-15","Milaca","Generic DFL","Andrew Mathews","1%","99%","R+12.2","R+24.9","R+37.5","Solid R"
"SD-16","Redwood Falls","Generic DFL","Gary H. Dahms","1%","99%","R+10.2","R+22.9","R+35.7","Solid R"
"SD-17","Olivia","Generic DFL","Andrew R. Lang","2%","98%","R+7.8","R+20.8","R+33.8","Solid R"
"SD-18","Hutchinson","Generic DFL","Scott J. Newman","<1%",">99%","R+14.8","R+27.3","R+39.9","Solid R"
"SD-19","North Mankato","Nick A. Frentz","Generic R","99%","1%","DFL+36.4","DFL+23.8","DFL+11.2","Solid DFL"
"SD-20","Madison Lake","Generic DFL","Rich Draheim","13%","87%","DFL+1.6","R+11.6","R+24.9","Likely R"
"SD-21","Red Wing","Generic DFL","Michael P. Goggin","5%","95%","R+3.7","R+16.9","R+30.1","Likely R"
"SD-22","Luverne","Generic DFL","Bill Weber","1%","99%","R+12.3","R+24.9","R+37.5","Solid R"
"SD-23","Vernon Center","Generic DFL","Julie A. Rosen","2%","98%","R+7.6","R+20.6","R+33.7","Solid R"
"SD-24","Fairbault","Generic DFL","John R. Jasinski","4%","96%","R+5.4","R+18.4","R+31.5","Solid R"
"SD-25","Rochester","Generic DFL","David H. Senjem","22%","78%","DFL+5.6","R+7.9","R+21.4","Likely R"
"SD-26","Rochester","Generic DFL","Carla J. Nelson","37%","63%","DFL+10.1","R+3.4","R+17.0","Lean R"
"SD-27","Austin","Dan Sparks","Generic R","81%","19%","DFL+22.6","DFL+9.2","R+4.2","Likely DFL"
"SD-28","Winona","Generic DFL","Jeremy R. Miller","67%","33%","DFL+17.9","DFL+4.5","R+9.0","Lean DFL"
"SD-29","Buffalo Twp","Generic DFL","Bruce D. Anderson","2%","98%","R+8.7","R+21.6","R+34.5","Solid R"
"SD-30","Big Lake","Generic DFL","Mary Kiffmeyer","1%","99%","R+10.0","R+22.8","R+35.6","Solid R"
"SD-31","Ham Lake","Generic DFL","Michelle R. Benson","1%","99%","R+10.6","R+23.3","R+36.0","Solid R"
"SD-32","North Branch","Generic DFL","Mark W. Koran","4%","96%","R+5.2","R+18.2","R+31.3","Solid R"
"SD-33","Mound","Generic DFL","David J. Osmek","9%","91%","R+0.7","R+13.9","R+27.2","Likely R"
"SD-34","Maple Grove","Generic DFL","Warren Limmer","14%","86%","DFL+2.0","R+11.3","R+24.6","Likely R"
"SD-35","Anoka","Generic DFL","Jim Abeler","4%","96%","R+4.8","R+17.8","R+30.9","Solid R"
"SD-36","Champlin","John A. Hoffman","Generic R","89%","11%","DFL+25.9","DFL+12.6","R+0.6","Likely DFL"
"SD-37","Coon Rapids","Jerry Newton","Generic R","90%","10%","DFL+26.6","DFL+13.4","DFL+0.2","Likely DFL"
"SD-38","Lino Lakes","Generic DFL","Roger C. Chamberlain","16%","84%","DFL+3.2","R+10.2","R+23.5","Likely R"
"SD-39","St. Mary's Point","Generic DFL","Karin Housley","14%","86%","DFL+2.2","R+11.3","R+24.7","Likely R"
"SD-40","Brooklyn Center","Chris A. Eaton","Generic R",">99%","<1%","DFL+59.9","DFL+49.8","DFL+39.6","Solid DFL"
"SD-41","Columbia Heights","Generic DFL","Generic R","95%","5%","DFL+30.5","DFL+17.5","DFL+4.4","Solid DFL"
"SD-42","Shoreview","Jason Isaacson","Generic R","97%","3%","DFL+32.1","DFL+19.1","DFL+6.0","Solid DFL"
"SD-43","Maplewood","Charles W. Wiger","Generic R","98%","2%","DFL+33.9","DFL+21.0","DFL+8.1","Solid DFL"
"SD-44","Plymouth","Generic DFL","Generic R","77%","23%","DFL+21.1","DFL+7.7","R+5.8","Likely DFL"
"SD-45","New Hope","Ann H. Rest","Generic R",">99%","<1%","DFL+39.8","DFL+27.3","DFL+14.9","Solid DFL"
"SD-46","St. Louis Park","Ron Latz","Generic R",">99%","<1%","DFL+51.2","DFL+39.9","DFL+28.5","Solid DFL"
"SD-47","Chaska","Generic DFL","Generic R","14%","86%","DFL+2.0","R+11.3","R+24.6","Likely R"
"SD-48","Eden Prairie","Steve Cwodzinski","Generic R","90%","10%","DFL+26.4","DFL+13.2","R+0.0","Likely DFL"
"SD-49","Edina","Melisa Franzen","Generic R","93%","7%","DFL+28.5","DFL+15.4","DFL+2.2","Likely DFL"
"SD-50","Bloomington","Melissa H. Wiklund","Generic R","99%","1%","DFL+36.0","DFL+23.3","DFL+10.5","Solid DFL"
"SD-51","Eagan","Jim Carlson","Generic R","96%","4%","DFL+31.6","DFL+18.5","DFL+5.4","Solid DFL"
"SD-52","Mendota Heights","Matt D. Klein","Generic R","98%","2%","DFL+35.0","DFL+22.1","DFL+9.2","Solid DFL"
"SD-53","Woodbury","Susan Kent","Generic R","88%","12%","DFL+25.5","DFL+12.2","R+1.1","Likely DFL"
"SD-54","Cottage Grove","Karla Bigham","Generic R","86%","14%","DFL+24.7","DFL+11.4","R+1.9","Likely DFL"
"SD-55","Prior Lake","Generic DFL","Eric R. Pratt","6%","94%","R+3.3","R+16.4","R+29.5","Likely R"
"SD-56","Burnsville","Generic DFL","Dan D. Hall","30%","70%","DFL+8.1","R+5.3","R+18.7","Lean R"
